threshold,total_cost,fn_cost,fp_cost,tp,fp,fn,tn,recall,precision
0.48,1143700.8499999999,1117700.8499999999,26000.0,39,52,25,137,0.6093749999904785,0.428571428566719
0.49,1159693.45,1136193.45,23500.0,38,47,26,142,0.5937499999907226,0.4470588235241522
0.5,1161825.4749999999,1138325.4749999999,23500.0,37,47,27,142,0.5781249999909668,0.4404761904709467
0.51,1194818.375,1171818.375,23000.0,35,46,29,143,0.5468749999914551,0.4320987654267642
0.52,1385669.0,1362669.0,23000.0,34,46,30,143,0.5312499999916992,0.42499999999468746
0.53,1615936.0999999999,1592936.0999999999,23000.0,32,46,32,143,0.49999999999218747,0.41025641025115056
0.54,1629001.375,1607001.375,22000.0,29,44,35,145,0.4531249999929199,0.3972602739671608
0.55,1628501.375,1607001.375,21500.0,29,43,35,146,0.4531249999929199,0.4027777777721836
0.56,2072039.15,2052039.15,20000.0,27,40,37,149,0.42187499999340816,0.4029850746208509
0.57,2073952.25,2053952.25,20000.0,26,40,38,149,0.4062499999936523,0.39393939393342514
0.58,2079093.9,2059593.9,19500.0,25,39,39,150,0.39062499999389644,0.39062499999389644
0.59,2078093.9,2059593.9,18500.0,25,37,39,152,0.39062499999389644,0.4032258064451093
0.6,2183037.1999999997,2164537.1999999997,18500.0,24,37,40,152,0.37499999999414063,0.3934426229443698
0.61,2188941.475,2171441.475,17500.0,22,35,42,154,0.3437499999946289,0.3859649122739305
0.62,2187941.475,2171441.475,16500.0,22,33,42,156,0.3437499999946289,0.3999999999927273
0.63,2187441.475,2171441.475,16000.0,22,32,42,157,0.3437499999946289,0.40740740739986286
0.64,2189952.875,2174452.875,15500.0,21,31,43,158,0.32812499999487305,0.4038461538383876
0.65,2284658.8,2270158.8,14500.0,19,29,45,160,0.2968749999953613,0.39583333332508686
0.66,2296610.225,2282610.225,14000.0,18,28,46,161,0.28124999999560546,0.3913043478175804
0.67,2631231.5,2618731.5,12500.0,17,25,47,164,0.2656249999958496,0.4047619047522676
0.68,2630731.5,2618731.5,12000.0,17,24,47,165,0.2656249999958496,0.41463414633135043
0.69,2645872.8249999997,2634372.8249999997,11500.0,16,23,48,166,0.24999999999609374,0.4102564102458909
0.7,2645872.8249999997,2634372.8249999997,11500.0,16,23,48,166,0.24999999999609374,0.4102564102458909
0.71,2647273.05,2638273.05,9000.0,15,18,49,171,0.23437499999633787,0.4545454545316805
0.72,2646273.05,2638273.05,8000.0,15,16,49,173,0.23437499999633787,0.48387096772632676
0.73,2645773.05,2638273.05,7500.0,15,15,49,174,0.23437499999633787,0.49999999998333333
0.74,2645773.05,2638273.05,7500.0,15,15,49,174,0.23437499999633787,0.49999999998333333
0.75,2667533.25,2660033.25,7500.0,14,15,50,174,0.218749999996582,0.48275862067300834
0.76,2667533.25,2660033.25,7500.0,14,15,50,174,0.218749999996582,0.48275862067300834
0.77,2703393.6999999997,2696393.6999999997,7000.0,13,14,51,175,0.20312499999682615,0.48148148146364883
0.78,2702893.6999999997,2696393.6999999997,6500.0,13,13,51,176,0.20312499999682615,0.4999999999807692
0.79,2795321.525,2788821.525,6500.0,11,13,53,176,0.17187499999731445,0.4583333333142361
0.8,2793821.525,2788821.525,5000.0,11,10,53,179,0.17187499999731445,0.5238095237845805
0.81,2918925.675,2914425.675,4500.0,10,9,54,180,0.1562499999975586,0.5263157894459833
0.82,2918925.675,2914425.675,4500.0,10,9,54,180,0.1562499999975586,0.5263157894459833
0.83,2918925.675,2914425.675,4500.0,10,9,54,180,0.1562499999975586,0.5263157894459833
0.84,2939490.975,2934990.975,4500.0,9,9,55,180,0.14062499999780273,0.4999999999722222
0.85,2939716.85,2936216.85,3500.0,8,7,56,182,0.12499999999804687,0.5333333332977778
0.86,2942670.1,2940170.1,2500.0,7,5,57,184,0.109374999998291,0.5833333332847223
0.87,2943313.75,2940813.75,2500.0,6,5,58,184,0.09374999999853516,0.5454545454049586
0.88,2943313.75,2940813.75,2500.0,6,5,58,184,0.09374999999853516,0.5454545454049586
0.89,2943313.75,2940813.75,2500.0,6,5,58,184,0.09374999999853516,0.5454545454049586
0.9,2942813.75,2940813.75,2000.0,6,4,58,185,0.09374999999853516,0.59999999994
0.91,2947768.5,2946268.5,1500.0,5,3,59,186,0.0781249999987793,0.624999999921875
0.92,2959054.425,2957554.425,1500.0,3,3,61,186,0.04687499999926758,0.49999999991666666
0.93,2964093.9,2962593.9,1500.0,2,3,62,186,0.031249999999511717,0.39999999992
0.94,2965364.925,2963864.925,1500.0,1,3,63,186,0.015624999999755858,0.2499999999375
0.95,2966017.3,2965017.3,1000.0,0,2,64,187,0.0,0.0
